disease,urgency,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Malaria,HIGH,headache,chills,fatigue,fever,high temperature,sweating,,
Malaria,HIGH,fever,chills,fatigue,headache,vomiting,,,
Malaria,HIGH,vomiting,sweating,fever,body ache,high temperature,fatigue,headache,
Malaria,HIGH,high temperature,sweating,body ache,fever,headache,vomiting,,
Malaria,HIGH,fever,high temperature,sweating,vomiting,fatigue,,,
Malaria,HIGH,chills,vomiting,fever,high temperature,headache,sweating,fatigue,body ache
Malaria,HIGH,fatigue,headache,chills,high temperature,fever,vomiting,body ache,
Malaria,HIGH,sweating,high temperature,vomiting,,,,,
Malaria,HIGH,chills,vomiting,sweating,fever,,,,
Malaria,HIGH,high temperature,sweating,vomiting,fatigue,body ache,chills,headache,fever
Malaria,HIGH,fever,body ache,high temperature,sweating,vomiting,fatigue,headache,chills
Malaria,HIGH,fever,vomiting,sweating,body ache,headache,fatigue,,
Malaria,HIGH,sweating,chills,fatigue,high temperature,vomiting,fever,headache,body ache
Malaria,HIGH,body ache,sweating,fatigue,vomiting,headache,fever,chills,
Malaria,HIGH,headache,chills,high temperature,sweating,fatigue,fever,vomiting,
Malaria,HIGH,chills,high temperature,vomiting,,,,,
Malaria,HIGH,body ache,headache,high temperature,,,,,
Malaria,HIGH,headache,body ache,high temperature,sweating,vomiting,fatigue,,
Malaria,HIGH,fatigue,chills,headache,high temperature,body ache,,,
Malaria,HIGH,headache,high temperature,fatigue,vomiting,chills,fever,sweating,body ache
Malaria,HIGH,chills,fever,fatigue,,,,,
Malaria,HIGH,fever,body ache,chills,fatigue,sweating,,,
Malaria,HIGH,headache,sweating,high temperature,body ache,,,,
Malaria,HIGH,vomiting,fever,chills,fatigue,sweating,body ache,,
Malaria,HIGH,chills,sweating,headache,vomiting,high temperature,fatigue,,
Malaria,HIGH,fatigue,chills,body ache,sweating,high temperature,vomiting,headache,fever
